,genes
1637,ZBTB4
1638,MRPS14
1639,MTHFD1L
1640,GPNMB
1641,SYNGR3
1642,SARM1
1643,SUDS3
1644,PTPRC
1645,TFB1M
1646,MKLN1
1647,CBWD1
1648,ST7L
1649,CHRNA4
1650,AFAP1
1651,ALDOC
1652,CTC1
1653,DPYSL4
1654,MRTO4
1655,BIRC3
1656,RASL12
1657,ZC3H12C
1658,GRAMD1B
1659,RSPO2
1660,FAM227B
1661,BIRC5
1662,NDUFS7
1663,ETNK2
1664,ICMT
1665,PCSK2
1666,WSCD2
1667,SYMPK
1668,VRK1
1669,LZTS1
1670,YWHAZ
1671,SUSD4
1672,ZBTB18
1673,PPM1A
1674,HMMR
1675,ZNF217
1676,AMDHD1
1677,PLEK
